# 548 tests pass on cog but not on sunit-2026-04-20-jit-nojit
# columns: status	class	selector
error	CompletionEngineTest	testUndoAutocompleteLeavesCursorInOriginalPosition
error	CompletionEngineTest	testUndoCompletionEntryKeepsFollowingLine
error	CompletionEngineTest	testWriteSmartCharacterPairInsideExistingPair
error	DTCoveragePluginPresenterTest	testEmptyInitializeOfAttributes
error	DTCoveragePluginPresenterTest	testUpdateSourceCodePanelUncovered
error	DTFilterableListPresenterTest	testFilterStrings
error	DTFilterableListPresenterTest	testFilterWorks
error	DTFilterableListPresenterTest	testLabel
error	DTTestCoverageTest	testCoveragePercentForMock
error	DTTestCoverageTest	testCoverageResultIsAnInstanceOfDTTestCoverageResult
error	DTTestCoverageTest	testDTTestCoverageResultBuildTreeForUIContainsNodes
error	DTTestCoverageTest	testDTTestCoverageResultHas2Nodes
error	DTTestCoverageTest	testDTTestCoverageResultHasCovered_Uncovered_PartiallyCoveredMethods
error	DTTestCoverageTest	testDTTestCoverageResultTheFirstNodeIsPercent
error	DTTestCoverageTest	testDTTestCoverageResultTheSecondNodeSubResultsAreLeafs
error	DTTestCoverageTest	testNotExecutedMethodList
error	DebugPointBrowserPresenterTest	testNewPresenterIsNotBuilt
error	DebugPointBrowserPresenterTest	testNewPresenterIsNotDisplayed
error	DebugPointBrowserPresenterTest	testNonOpenPresenterDoesNotRaiseBuiltEvent
error	DebugPointBrowserPresenterTest	testNonOpenPresenterDoesNotRaiseDisplayedEvent
error	DebugPointBrowserPresenterTest	testOpen
error	DebugPointBrowserPresenterTest	testOpenPresenterIsBuilt
error	DebugPointBrowserPresenterTest	testOpenPresenterIsDisplayed
error	DebugPointBrowserPresenterTest	testOpenPresenterRaisesBuiltEvent
error	DebugPointBrowserPresenterTest	testOpenPresenterRaisesDisplayEvent
error	DebugPointBrowserPresenterTest	testRebuildPresenterDoNotLetReferencesInAnnouncer
error	DeleteVisitorTest	testSymbolicLink
error	DiskFileAttributesTest	testFromPlatformPath
error	DiskFileAttributesTest	testIsExecutable
error	DiskFileAttributesTest	testNLink
error	DiskFileAttributesTest	testPermissions
error	DiskFileAttributesTest	testSymlinkUidGid
error	DiskFileAttributesTest	testToPlatformPath
error	DiskFileAttributesTest	testUidGid
