label	load	cog_RESULT	jit_RESULT	jit_only_fails
ducasse-osc	ok	RESULT pass=16 fail=1 err=0 timeout=0 classes=6	RESULT pass=16 fail=1 err=0 timeout=0 classes=6[IMAGE] RESULT pass=16 fail=1 err=0 timeout=0 classes=6	0
georghagn-tsf-scheduler	ok	RESULT pass=12 fail=0 err=0 timeout=0 classes=5	RESULT pass=12 fail=0 err=0 timeout=0 classes=5[IMAGE] RESULT pass=12 fail=0 err=0 timeout=0 classes=5	0
pharo-ai-data-partitioners	ok	RESULT pass=5 fail=0 err=0 timeout=0 classes=2	RESULT pass=5 fail=0 err=0 timeout=0 classes=2[IMAGE] RESULT pass=5 fail=0 err=0 timeout=0 classes=2	0
akgrant43-geosphere	ok	RESULT pass=6 fail=5 err=0 timeout=0 classes=2	RESULT pass=6 fail=5 err=0 timeout=0 classes=2[IMAGE] RESULT pass=6 fail=5 err=0 timeout=0 classes=2	0
punt-labs-anthropic-sdk-pharo	ok	RESULT pass=901 fail=1 err=32 timeout=0 classes=117	-	0
kendrickorg-kendrick	FAIL	-	-	-
pavel-krivanek-turbo	ok	-	-	0
ba-st-boardwalk	ok	RESULT pass=78 fail=0 err=0 timeout=0 classes=14	RESULT pass=78 fail=0 err=0 timeout=0 classes=14[IMAGE] RESULT pass=78 fail=0 err=0 timeout=0 classes=14	0
ba-st-kepler	ok	RESULT pass=41 fail=0 err=0 timeout=0 classes=10	RESULT pass=41 fail=0 err=0 timeout=0 classes=10[IMAGE] RESULT pass=41 fail=0 err=0 timeout=0 classes=10	0
pharo-contributions-ossubprocess	ok	-	-	0
pharo-llm-pharo-infer	ok	RESULT pass=28 fail=0 err=0 timeout=0 classes=7	RESULT pass=28 fail=0 err=0 timeout=0 classes=7[IMAGE] RESULT pass=28 fail=0 err=0 timeout=0 classes=7	0
pharo-ai-gaussian-mixture-model	ok	RESULT pass=5 fail=0 err=4 timeout=0 classes=3	RESULT pass=5 fail=0 err=4 timeout=0 classes=3[IMAGE] RESULT pass=5 fail=0 err=4 timeout=0 classes=3	0
nathanfrund-datastar-pharo-sdk	ok	RESULT pass=32 fail=0 err=0 timeout=0 classes=3	RESULT pass=32 fail=0 err=0 timeout=0 classes=3[IMAGE] RESULT pass=32 fail=0 err=0 timeout=0 classes=3	0
svenvc-neoconsole	ok	RESULT pass=0 fail=0 err=0 timeout=0 classes=0	RESULT pass=0 fail=0 err=0 timeout=0 classes=0[IMAGE] RESULT pass=0 fail=0 err=0 timeout=0 classes=0	0
pharo-spec-spec	ok	-	-	0
alamvic-druid	ok	RESULT pass=218 fail=1 err=0 timeout=0 classes=28	RESULT pass=218 fail=1 err=0 timeout=0 classes=28[IMAGE] RESULT pass=218 fail=1 err=0 timeout=0 classes=28	0
astares-pharo-os-windows	FAIL	-	-	-
openponk-petrinets	ok	-	-	0
feenkcom-jslink	FAIL	-	-	-
pharo-graphics-spec-toplo	ok	-	-	0
pharo-contributions-mutalk	ok	RESULT pass=336 fail=0 err=1 timeout=0 classes=89	-	0
vonbecmann-multi-valued-dictionary	ok	RESULT pass=2136 fail=0 err=0 timeout=0 classes=21	RESULT pass=2136 fail=0 err=0 timeout=0 classes=21[IMAGE] RESULT pass=2136 fail=0 err=0 timeout=0 classes=21	0
pharo-contributions-cssparser	ok	RESULT pass=78 fail=2 err=0 timeout=0 classes=16	RESULT pass=78 fail=2 err=0 timeout=0 classes=16[IMAGE] RESULT pass=78 fail=2 err=0 timeout=0 classes=16	0
svenvc-neojson	ok	RESULT pass=116 fail=0 err=0 timeout=0 classes=11	RESULT pass=116 fail=0 err=0 timeout=0 classes=11[IMAGE] RESULT pass=116 fail=0 err=0 timeout=0 classes=11	0
tinchodias-sauco	ok	RESULT pass=17 fail=0 err=2 timeout=0 classes=6	RESULT pass=17 fail=0 err=2 timeout=0 classes=6[IMAGE] RESULT pass=17 fail=0 err=2 timeout=0 classes=6	0
gabriel-darbord-opentelemetry-pharo	ok	RESULT pass=0 fail=0 err=0 timeout=0 classes=0	RESULT pass=0 fail=0 err=0 timeout=0 classes=0[IMAGE] RESULT pass=0 fail=0 err=0 timeout=0 classes=0	0
svenvc-neocsv	ok	RESULT pass=66 fail=0 err=0 timeout=0 classes=3	RESULT pass=66 fail=0 err=0 timeout=0 classes=3[IMAGE] RESULT pass=66 fail=0 err=0 timeout=0 classes=3	0
pharo-ai-stopwords	ok	RESULT pass=6 fail=0 err=0 timeout=0 classes=4	RESULT pass=6 fail=0 err=0 timeout=0 classes=4[IMAGE] RESULT pass=6 fail=0 err=0 timeout=0 classes=4	0
apptivegrid-canopy	ok	RESULT pass=75 fail=0 err=0 timeout=0 classes=9	RESULT pass=75 fail=0 err=0 timeout=0 classes=9[IMAGE] RESULT pass=75 fail=0 err=0 timeout=0 classes=9	0
moosetechnology-fast-java	ok	RESULT pass=616 fail=1 err=7 timeout=0 classes=125	-	0
apptivegrid-soil	ok	RESULT pass=464 fail=5 err=1 timeout=1 classes=37	-	0
omarabedelkader-heuristiccompletion-history	FAIL	-	-	-
ba-st-sagan	ok	RESULT pass=32 fail=0 err=0 timeout=0 classes=1	RESULT pass=32 fail=0 err=0 timeout=0 classes=1[IMAGE] RESULT pass=32 fail=0 err=0 timeout=0 classes=1	0
labordep-pharogameye	ok	RESULT pass=82 fail=0 err=0 timeout=0 classes=11	RESULT pass=82 fail=0 err=0 timeout=0 classes=11[IMAGE] RESULT pass=82 fail=0 err=0 timeout=0 classes=11	0
